k,trial,B0_1,B0_2,B0_3,B0_4,B0_5,B0_6,B0_7,B0_8,B0_9,B0_10,B0_11,B0_12,B0_13,B1_1,B1_2,B1_3,B1_4,B1_5,B1_6,B1_7,B1_8,B1_9,B1_10,B1_11,B1_12,B1_13
3,0,1000,1000,988,760,310,131,70,43,37,37,37,37,37,0,0,0,6,148,261,299,317,320,321,321,321,321
3,1,1000,1000,991,702,300,143,85,59,53,52,52,52,52,0,0,0,6,160,235,267,280,284,283,283,283,283
3,2,1000,1000,990,739,288,128,70,45,40,40,40,40,40,0,0,0,4,161,282,327,340,344,344,344,344,344
3,3,1000,1000,991,747,318,137,76,47,42,40,40,40,40,0,0,0,4,182,284,317,334,338,340,340,340,340
3,4,1000,999,993,762,325,133,73,49,41,41,40,40,40,0,0,0,4,161,273,311,318,323,323,325,325,325
3,5,1000,1000,984,747,314,121,62,40,39,38,37,37,37,0,0,0,5,153,257,290,302,303,303,303,303,303
3,6,1000,1000,995,751,308,127,58,43,36,33,33,33,33,0,0,0,5,143,267,296,309,313,313,313,313,313
3,7,1000,1000,991,747,283,115,67,49,42,41,41,41,41,0,0,0,3,167,273,301,310,310,312,312,312,312
3,8,1000,1000,985,722,314,124,72,49,44,44,44,44,44,0,0,0,6,171,274,295,306,307,307,307,307,307
3,9,1000,1000,989,750,295,114,61,42,36,36,36,36,36,0,0,0,6,165,265,304,316,319,318,318,318,318
3,10,1000,1000,991,761,306,120,78,50,47,47,47,47,47,0,0,0,3,186,300,331,348,356,356,356,356,356
3,11,1000,1000,991,732,280,119,56,41,37,35,34,34,34,0,0,0,3,154,261,296,307,310,310,310,310,310
3,12,1000,1000,977,735,290,131,82,66,59,56,54,54,54,0,0,0,8,161,237,274,284,288,289,289,289,289
3,13,1000,1000,988,730,317,129,76,46,36,36,36,36,36,0,0,0,5,158,271,310,318,322,322,322,322,322
3,14,1000,1000,988,757,290,140,81,59,53,53,53,53,53,0,0,0,5,179,269,296,312,315,315,315,315,315
3,15,1000,1000,989,698,298,120,56,44,38,37,37,37,37,0,0,0,7,187,287,332,341,347,349,349,349,349
3,16,1000,1000,986,724,299,136,72,55,50,50,50,50,50,0,0,0,13,169,281,306,315,322,323,323,323,323
3,17,1000,1000,992,728,301,138,72,47,37,35,35,35,35,0,0,0,5,153,263,301,327,330,331,331,331,331
3,18,1000,1000,989,726,293,124,62,46,40,40,40,40,40,0,0,0,4,153,244,280,296,299,299,299,299,299
3,19,1000,1000,989,758,286,100,57,39,34,33,33,33,33,0,0,0,6,150,261,296,302,308,308,308,308,308
3,20,1000,1000,981,731,285,112,64,48,40,39,39,39,39,0,0,0,11,154,266,300,313,317,317,317,317,317
3,21,1000,1000,987,742,313,133,68,51,45,45,45,45,45,0,0,0,12,145,269,302,316,317,318,318,318,318
3,22,1000,1000,991,742,293,127,78,53,49,47,47,47,47,0,0,0,9,169,271,299,313,319,320,320,320,320
3,23,1000,1000,986,742,315,130,69,52,47,44,44,44,44,0,0,0,12,173,265,303,315,317,318,318,318,318
3,24,1000,1000,987,710,293,124,70,49,42,41,41,41,41,0,0,0,10,174,270,291,306,312,312,312,312,312
3,25,1000,1000,992,774,315,115,57,42,38,38,38,38,38,0,0,0,5,164,282,319,332,335,335,335,335,335
3,26,1000,1000,992,710,282,113,62,49,44,44,44,44,44,0,0,0,4,196,282,316,332,333,333,333,333,333
3,27,1000,1000,988,757,312,135,72,48,40,40,40,40,40,0,0,0,9,160,266,290,303,309,309,309,309,309
3,28,1000,1000,992,717,285,117,65,45,44,44,44,44,44,0,0,0,3,140,255,287,300,306,306,306,306,306
3,29,1000,1000,985,742,288,117,68,54,48,46,46,46,46,0,0,0,5,145,262,300,305,308,309,309,309,309
4,0,1000,1000,988,750,298,112,53,28,21,21,21,21,21,0,0,0,11,272,452,522,552,557,558,558,558,558
4,1,1000,1000,991,694,285,118,57,30,25,24,24,24,24,0,0,0,13,290,434,502,528,533,533,533,533,533
4,2,1000,1000,990,733,272,111,47,24,16,16,16,16,16,0,0,0,7,278,482,553,578,586,587,587,587,587
4,3,1000,1000,991,745,305,122,55,26,21,20,20,20,20,0,0,0,8,306,487,546,579,588,590,590,590,590
4,4,1000,999,993,755,309,108,46,25,19,19,18,18,18,0,0,0,8,267,447,518,543,554,554,557,557,557
4,5,1000,1000,984,742,300,107,46,24,22,21,20,20,20,0,0,0,5,273,457,517,538,544,545,545,545,545
4,6,1000,1000,995,743,293,109,41,25,20,15,15,15,15,0,0,0,9,259,471,527,552,559,559,559,559,559
4,7,1000,1000,991,741,268,100,48,30,24,23,23,23,23,0,0,0,5,281,459,507,525,527,530,530,530,530
4,8,1000,1000,985,716,294,102,53,28,23,23,23,23,23,0,0,0,8,280,457,513,538,542,544,544,544,544
4,9,1000,1000,989,739,282,100,47,29,22,21,21,21,21,0,0,0,12,289,480,550,568,574,574,574,574,574
4,10,1000,1000,991,753,287,101,60,30,27,27,27,27,27,0,0,0,5,286,504,563,590,605,605,605,605,605
4,11,1000,1000,991,723,267,102,44,29,24,22,21,21,21,0,0,0,4,260,421,489,504,510,510,510,510,510
4,12,1000,1000,977,727,271,111,61,38,30,27,27,27,27,0,0,0,12,275,434,504,521,529,531,534,534,534
4,13,1000,1000,988,721,299,110,54,21,10,10,10,10,10,0,0,0,12,271,469,536,558,567,568,568,568,568
4,14,1000,1000,988,751,269,118,60,32,27,27,27,27,27,0,0,0,3,287,453,505,531,540,540,540,540,540
4,15,1000,1000,989,688,282,104,38,27,20,19,19,19,19,0,0,0,8,335,492,562,582,592,595,595,595,595
4,16,1000,1000,986,720,288,116,51,32,25,25,25,25,25,0,0,0,20,283,483,533,554,567,570,570,570,570
4,17,1000,1000,992,721,288,126,55,26,17,16,16,16,16,0,0,0,6,284,477,535,579,588,592,592,592,592
4,18,1000,1000,989,715,277,104,42,22,18,17,17,17,17,0,0,0,11,287,467,539,558,564,564,564,564,564
4,19,1000,1000,989,749,276,88,44,24,19,17,17,17,17,0,0,0,7,263,463,525,540,547,548,548,548,548
4,20,1000,1000,981,721,273,97,47,31,24,22,22,22,22,0,0,0,13,274,484,537,559,569,569,569,569,569
4,21,1000,1000,987,736,293,112,43,25,20,20,20,20,20,0,0,0,17,265,491,554,579,583,584,584,584,584
4,22,1000,1000,991,737,272,106,51,25,20,17,17,17,17,0,0,0,9,293,477,534,557,567,570,570,570,570
