k,trial,B0_1,B0_2,B0_3,B0_4,B0_5,B0_6,B0_7,B0_8,B0_9,B0_10,B0_11,B0_12,B0_13,B1_1,B1_2,B1_3,B1_4,B1_5,B1_6,B1_7,B1_8,B1_9,B1_10,B1_11,B1_12,B1_13
3,0,1000,1000,999,949,531,169,59,45,44,44,44,44,44,0,0,0,0,31,200,288,307,308,308,308,308,308
3,1,1000,1000,998,942,550,152,46,34,32,32,32,32,32,0,0,0,0,31,222,309,319,321,321,321,321,321
3,2,1000,1000,999,931,524,159,63,43,41,41,41,41,41,0,0,0,0,33,216,307,321,323,323,323,323,323
3,3,1000,1000,996,933,510,144,54,32,31,31,31,31,31,0,0,0,0,44,231,296,315,321,321,321,321,321
3,4,1000,1000,998,933,548,191,69,40,40,40,40,40,40,0,0,0,0,45,217,307,329,330,330,330,330,330
3,5,1000,1000,1000,921,526,149,70,42,42,42,42,42,42,0,0,0,0,39,230,298,315,315,315,315,315,315
3,6,1000,1000,999,940,564,171,64,44,43,43,43,43,43,0,0,0,0,39,218,294,316,318,318,318,318,318
3,7,1000,1000,1000,951,516,163,70,52,50,50,50,50,50,0,0,0,0,40,244,317,333,336,336,336,336,336
3,8,1000,1000,998,954,535,169,66,43,40,40,40,40,40,0,0,0,0,22,222,327,340,345,345,345,345,345
3,9,1000,1000,1000,955,536,177,75,47,45,45,45,45,45,0,0,0,0,51,218,297,316,321,321,321,321,321
3,10,1000,1000,999,908,503,137,52,34,32,32,32,32,32,0,0,0,0,37,232,323,334,335,335,335,335,335
3,11,1000,1000,1000,939,521,163,62,36,34,34,34,34,34,0,0,0,0,34,196,295,315,316,316,316,316,316
3,12,1000,1000,1000,945,551,175,74,46,45,45,45,45,45,0,0,0,1,37,198,274,290,291,291,291,291,291
3,13,1000,1000,1000,944,517,189,56,35,34,34,34,34,34,0,0,0,2,56,198,292,305,308,308,308,308,308
3,14,1000,1000,999,950,527,141,61,49,48,48,48,48,48,0,0,0,0,34,204,277,288,288,288,288,288,288
3,15,1000,1000,998,940,487,136,54,35,32,32,32,32,32,0,0,0,0,49,268,351,364,366,366,366,366,366
3,16,1000,1000,1000,939,496,159,70,50,49,49,49,49,49,0,0,0,0,33,217,294,309,310,310,310,310,310
3,17,1000,1000,999,941,506,155,66,50,49,49,49,49,49,0,0,0,0,36,222,294,303,303,303,303,303,303
3,18,1000,1000,998,942,499,170,65,48,47,47,47,47,47,0,0,0,0,52,252,322,339,339,339,339,339,339
3,19,1000,1000,999,941,504,158,72,49,48,48,48,48,48,0,0,0,0,52,216,283,300,301,301,301,301,301
3,20,1000,1000,999,937,528,171,77,59,57,57,57,57,57,0,0,0,0,50,211,272,281,283,283,283,283,283
3,21,1000,1000,999,933,527,159,68,50,50,50,50,50,50,0,0,0,1,40,186,260,275,276,276,276,276,276
3,22,1000,1000,999,940,547,168,78,46,45,45,45,45,45,0,0,0,0,44,206,279,303,305,305,305,305,305
3,23,1000,1000,1000,944,531,169,67,46,45,45,45,45,45,0,0,0,0,53,197,303,317,319,319,319,319,319
3,24,1000,1000,999,941,512,157,69,48,44,44,44,44,44,0,0,0,1,38,186,273,286,289,289,289,289,289
3,25,1000,1000,1000,946,556,172,70,60,57,57,57,57,57,0,0,0,0,37,198,275,281,283,283,283,283,283
3,26,1000,1000,998,937,497,170,74,47,47,47,47,47,47,0,0,0,0,35,179,250,265,265,265,265,265,265
3,27,1000,1000,1000,930,504,178,59,42,37,37,37,37,37,0,0,0,0,62,224,323,339,345,345,345,345,345
3,28,1000,1000,998,940,526,174,68,43,42,42,42,42,42,0,0,0,0,40,217,287,306,312,312,312,312,312
3,29,1000,1000,998,930,512,177,72,52,51,51,51,51,51,0,0,0,0,45,204,295,318,319,319,319,319,319
4,0,1000,1000,999,948,512,150,41,27,26,26,26,26,26,0,0,0,0,57,341,512,541,542,542,542,542,542
4,1,1000,1000,998,942,530,136,30,17,15,15,15,15,15,0,0,0,0,59,372,535,551,554,554,554,554,554
4,2,1000,1000,999,929,504,140,45,21,18,18,18,18,18,0,0,0,0,62,375,528,551,557,557,557,557,557
4,3,1000,1000,996,933,494,124,39,19,18,18,18,18,18,0,0,0,0,64,375,517,544,553,553,553,553,553
4,4,1000,1000,998,933,538,173,54,27,27,27,27,27,27,0,0,0,0,67,346,499,539,544,544,544,544,544
4,5,1000,1000,1000,921,511,131,51,26,26,26,26,26,26,0,0,0,0,71,387,520,547,548,548,548,548,548
4,6,1000,1000,999,939,547,149,46,27,26,26,26,26,26,0,0,0,0,65,367,518,553,555,555,555,555,555
4,7,1000,1000,1000,951,502,141,47,31,29,29,29,29,29,0,0,0,0,65,389,528,559,564,564,564,564,564
4,8,1000,1000,998,954,519,148,45,23,20,20,20,20,20,0,0,0,0,36,368,546,576,585,585,585,585,585
4,9,1000,1000,1000,955,534,160,52,22,20,20,20,20,20,0,0,0,0,76,358,509,548,557,557,557,557,557
4,10,1000,1000,999,907,490,124,37,20,17,17,17,17,17,0,0,0,0,64,392,540,560,563,563,563,563,563
4,11,1000,1000,1000,938,504,142,42,19,18,18,18,18,18,0,0,0,0,68,354,518,556,562,562,562,562,562
4,12,1000,1000,1000,945,542,162,56,28,26,26,26,26,26,0,0,0,1,61,319,465,496,500,500,500,500,500
4,13,1000,1000,1000,943,501,173,41,16,13,13,13,13,13,0,0,0,2,81,337,503,530,535,535,535,535,535
4,14,1000,1000,999,950,513,122,38,27,26,26,26,26,26,0,0,0,0,58,355,504,531,531,531,531,531,531
4,15,1000,1000,998,940,474,120,37,16,15,15,15,15,15,0,0,0,0,77,401,537,558,563,563,563,563,563
4,16,1000,1000,1000,939,480,142,54,31,31,31,31,31,31,0,0,0,0,71,371,496,526,531,531,531,531,531
4,17,1000,1000,999,940,486,137,43,25,24,24,24,24,24,0,0,0,0,63,357,495,518,520,520,520,520,520
4,18,1000,1000,998,942,490,147,40,22,21,21,21,21,21,0,0,0,0,78,385,526,554,555,555,555,555,555
4,19,1000,1000,999,941,494,135,44,19,17,17,17,17,17,0,0,0,0,89,352,491,523,526,526,526,526,526
4,20,1000,1000,999,936,520,146,53,38,35,35,35,35,35,0,0,0,0,69,340,457,473,478,478,478,478,478
4,21,1000,1000,999,933,511,133,40,22,22,22,22,22,22,0,0,0,2,69,344,474,502,507,507,507,507,507
4,22,1000,1000,999,940,533,156,57,21,20,20,20,20,20,0,0,0,0,58,340,480,522,525,525,525,525,525
4,23,1000,1000,1000,942,515,149,50,30,28,28,28,28,28,0,0,0,0,87,337,498,527,531,531,531,531,531
4,24,1000,1000,999,940,502,139,50,29,24,24,24,24,24,0,0,0,0,70,351,492,517,523,523,523,523,523
4,25,1000,1000,1000,946,538,153,48,39,36,35,35,35,35,0,0,0,0,63,346,483,499,502,502,502,502,502
4,26,1000,1000,998,937,475,149,56,29,29,29,29,29,29,0,0,0,0,70,344,477,509,511,511,511,511,511
4,27,1000,1000,1000,930,490,163,37,18,14,14,14,14,14,0,0,0,0,87,361,533,565,574,574,574,574,574
4,28,1000,1000,998,940,516,155,54,28,27,27,27,27,27,0,0,0,0,69,356,490,519,528,528,528,528,528
4,29,1000,1000,998,929,499,161,54,32,31,31,31,31,31,0,0,0,0,77,346,491,525,527,527,527,527,527
5,0,1000,1000,999,947,506,143,33,17,16,16,16,16,16,0,0,0,0,76,469,699,739,742,742,742,742,742
5,1,1000,1000,998,942,520,124,24,9,7,7,7,7,7,0,0,0,0,75,471,682,711,716,716,716,716,716
5,2,1000,1000,999,929,494,137,41,16,13,13,13,13,13,0,0,0,0,84,495,691,733,745,745,745,745,745
5,3,1000,1000,996,933,490,117,34,14,13,13,13,13,13,0,0,0,0,73,448,642,680,694,694,694,694,694
