k,trial,B0_1,B0_2,B0_3,B0_4,B0_5,B0_6,B0_7,B0_8,B0_9,B0_10,B0_11,B0_12,B0_13,B1_1,B1_2,B1_3,B1_4,B1_5,B1_6,B1_7,B1_8,B1_9,B1_10,B1_11,B1_12,B1_13
3,0,1000,1000,1000,988,735,292,97,48,43,43,43,43,43,0,0,0,0,8,151,305,347,352,352,352,352,352
3,1,1000,1000,1000,971,701,301,96,59,52,51,51,51,51,0,0,0,0,18,166,298,331,335,336,336,336,336
3,2,1000,1000,999,990,734,292,98,49,45,45,45,45,45,0,0,0,0,8,183,300,331,339,339,339,339,339
3,3,1000,1000,998,988,731,284,95,43,36,36,36,36,36,0,0,0,0,3,176,325,362,366,367,367,367,367
3,4,1000,1000,1000,978,754,311,106,53,45,45,45,45,45,0,0,0,0,12,171,312,352,357,357,357,357,357
3,5,1000,1000,999,975,710,273,93,42,36,36,36,36,36,0,0,0,1,15,185,319,359,368,368,368,368,368
3,6,1000,1000,1000,977,739,314,104,57,48,48,48,48,48,0,0,0,0,11,165,302,334,336,336,336,336,336
3,7,1000,1000,1000,979,725,302,99,47,41,41,41,41,41,0,0,0,0,10,157,296,335,340,340,340,340,340
3,8,1000,1000,1000,982,731,317,96,48,38,38,38,38,38,0,0,0,0,13,178,303,340,347,347,347,347,347
3,9,1000,1000,1000,987,715,305,114,63,55,54,54,54,54,0,0,0,0,13,181,300,331,339,339,339,339,339
3,10,1000,1000,1000,979,735,271,91,46,40,40,40,40,40,0,0,0,0,15,197,339,371,376,376,376,376,376
3,11,1000,1000,1000,983,720,295,108,57,50,50,50,50,50,0,0,0,0,17,211,331,368,377,377,377,377,377
3,12,1000,1000,1000,981,715,300,113,53,48,48,48,48,48,0,0,0,0,14,171,292,338,344,344,344,344,344
3,13,1000,1000,999,980,724,290,83,40,35,34,34,34,34,0,0,0,0,15,181,315,361,368,369,369,369,369
3,14,1000,1000,1000,978,730,313,119,56,52,52,52,52,52,0,0,0,0,15,153,291,332,342,342,342,342,342
3,15,1000,1000,1000,983,732,307,112,58,54,54,54,54,54,0,0,0,0,7,179,292,340,344,345,345,345,345
3,16,1000,1000,1000,974,685,320,105,52,47,47,47,47,47,0,0,0,0,13,180,293,344,351,351,351,351,351
3,17,1000,1000,1000,987,738,302,116,61,50,50,50,50,50,0,0,0,0,13,189,323,363,374,375,375,375,375
3,18,1000,1000,1000,983,716,310,100,51,44,44,44,44,44,0,0,0,0,12,159,288,318,321,321,321,321,321
3,19,1000,1000,1000,974,715,296,96,51,46,46,46,46,46,0,0,0,0,21,194,320,366,374,374,374,374,374
3,20,1000,1000,1000,981,704,309,95,48,47,47,47,47,47,0,0,0,0,15,171,303,350,354,354,354,354,354
3,21,1000,1000,1000,980,744,294,83,46,39,39,39,39,39,0,0,0,0,7,172,308,350,353,353,353,353,353
3,22,1000,1000,1000,987,743,284,97,51,45,44,44,44,44,0,0,0,0,10,177,318,350,355,355,355,355,355
3,23,1000,1000,1000,985,713,309,118,61,56,54,54,54,54,0,0,0,0,16,172,308,338,341,341,341,341,341
3,24,1000,1000,1000,976,706,285,98,44,39,38,38,38,38,0,0,0,0,12,164,283,335,342,343,343,343,343
3,25,1000,1000,1000,985,732,322,107,53,43,43,43,43,43,0,0,0,0,9,155,271,307,317,317,317,317,317
3,26,1000,1000,1000,986,727,338,102,48,45,44,44,44,44,0,0,0,0,20,171,295,331,337,337,337,337,337
3,27,1000,1000,1000,981,700,296,114,59,50,50,50,50,50,0,0,0,0,17,174,293,326,330,331,331,331,331
3,28,1000,1000,1000,983,727,293,95,49,45,43,43,43,43,0,0,0,0,12,178,312,344,348,349,349,349,349
3,29,1000,1000,1000,979,689,275,78,43,37,37,37,37,37,0,0,0,0,19,179,336,364,372,372,372,372,372
4,0,1000,1000,1000,988,727,284,82,29,24,24,24,24,24,0,0,0,0,18,271,517,583,591,591,591,591,591
4,1,1000,1000,1000,971,690,281,73,32,26,25,25,25,25,0,0,0,0,25,290,519,586,598,600,600,600,600
4,2,1000,1000,999,990,716,276,72,25,20,20,20,20,20,0,0,0,0,16,309,535,602,620,620,620,620,620
4,3,1000,1000,998,988,722,276,74,25,20,20,20,20,20,0,0,0,0,8,299,550,623,631,633,633,633,633
4,4,1000,1000,1000,978,746,295,84,28,21,21,21,21,21,0,0,0,0,18,270,530,600,613,613,613,613,613
4,5,1000,1000,999,975,700,263,76,29,22,22,22,22,22,0,0,0,1,28,303,523,593,613,613,613,613,613
4,6,1000,1000,1000,977,735,296,82,30,22,22,22,22,22,0,0,0,0,17,263,519,592,603,603,603,603,603
4,7,1000,1000,1000,979,719,284,77,27,20,19,19,19,19,0,0,0,0,16,267,515,586,599,599,599,599,599
4,8,1000,1000,1000,982,723,306,83,35,24,24,24,24,24,0,0,0,0,18,284,512,580,599,600,600,600,600
4,9,1000,1000,1000,987,705,285,92,39,31,30,30,30,30,0,0,0,0,23,288,505,571,585,586,586,586,586
4,10,1000,1000,1000,979,728,259,70,25,19,19,19,19,19,0,0,0,0,21,325,547,617,627,627,627,627,627
4,11,1000,1000,1000,983,713,272,83,30,23,23,23,23,23,0,0,0,0,24,326,537,612,633,633,633,633,633
4,12,1000,1000,1000,981,708,277,86,27,22,22,22,22,22,0,0,0,0,25,283,500,595,611,611,611,611,611
4,13,1000,1000,999,980,718,280,66,22,16,15,15,15,15,0,0,0,0,22,307,538,628,639,641,641,641,641
4,14,1000,1000,1000,978,721,301,96,34,29,29,29,29,29,0,0,0,0,28,277,519,592,609,609,609,609,609
4,15,1000,1000,1000,983,721,286,92,37,31,30,30,30,30,0,0,0,0,19,311,523,609,622,623,623,623,623
4,16,1000,1000,1000,974,677,292,79,27,22,22,22,22,22,0,0,0,0,25,292,507,591,603,603,603,603,603
4,17,1000,1000,1000,987,733,284,92,34,22,22,22,22,22,0,0,0,0,17,301,528,601,619,621,621,621,621
4,18,1000,1000,1000,983,699,295,85,31,25,25,25,25,25,0,0,0,0,17,282,521,598,610,610,610,610,610
4,19,1000,1000,1000,974,710,280,77,30,25,25,25,25,25,0,0,0,0,34,307,549,625,639,639,639,639,639
4,20,1000,1000,1000,981,695,291,78,30,29,29,29,29,29,0,0,0,0,27,284,526,622,630,630,630,630,630
