k,trial,B0_1,B0_2,B0_3,B0_4,B0_5,B0_6,B0_7,B0_8,B0_9,B0_10,B0_11,B0_12,B0_13,B1_1,B1_2,B1_3,B1_4,B1_5,B1_6,B1_7,B1_8,B1_9,B1_10,B1_11,B1_12,B1_13
3,0,1000,1000,1000,928,465,176,70,50,49,48,48,48,48,0,0,0,0,59,245,315,331,332,334,334,334,334
3,1,1000,1000,999,937,480,160,63,41,40,38,38,38,38,0,0,0,0,60,227,297,308,311,311,311,311,311
3,2,1000,1000,997,935,486,162,56,38,32,32,32,32,32,0,0,0,0,70,246,312,325,327,327,327,327,327
3,3,1000,1000,998,933,485,158,62,50,49,49,49,49,49,0,0,0,2,52,217,295,301,302,302,302,302,302
3,4,1000,1000,998,950,530,159,66,50,45,44,44,44,44,0,0,0,0,58,222,278,295,299,300,300,300,300
3,5,1000,1000,999,923,475,147,56,35,31,30,30,30,30,0,0,0,1,70,230,287,315,319,319,319,319,319
3,6,1000,1000,999,935,508,182,66,47,42,42,42,42,42,0,0,0,0,69,241,322,334,342,342,342,342,342
3,7,1000,1000,999,924,510,169,52,31,27,26,26,26,26,0,0,0,0,69,229,299,309,311,311,311,311,311
3,8,1000,1000,999,933,495,158,66,51,46,45,43,43,43,0,0,0,0,61,225,294,309,309,309,309,309,309
3,9,1000,1000,999,920,491,161,61,48,47,47,47,47,47,0,0,0,0,76,257,329,348,348,348,348,348,348
3,10,1000,1000,995,927,484,165,66,55,55,55,55,55,55,0,0,0,0,61,223,285,296,296,296,296,296,296
3,11,1000,1000,999,924,492,156,68,51,50,50,50,50,50,0,0,0,0,54,241,301,319,319,321,321,321,321
3,12,1000,1000,998,942,474,160,58,37,35,34,34,34,34,0,0,0,1,66,222,298,309,310,310,310,310,310
3,13,1000,1000,998,943,527,173,63,45,42,41,41,41,41,0,0,0,1,63,214,286,297,299,299,299,299,299
3,14,1000,1000,997,916,489,164,50,38,36,35,35,35,35,0,0,0,1,83,265,350,365,366,366,366,366,366
3,15,1000,1000,999,936,479,181,75,56,52,51,51,51,51,0,0,0,0,79,267,334,346,349,349,349,349,349
3,16,1000,1000,999,923,480,161,45,39,37,37,37,37,37,0,0,0,0,66,232,315,326,327,328,328,328,328
3,17,1000,1000,999,922,490,158,70,42,42,42,42,42,42,0,0,0,1,64,222,278,292,293,293,293,293,293
3,18,1000,1000,999,930,500,165,68,53,48,47,46,46,46,0,0,0,0,60,244,307,314,315,315,316,316,316
3,19,1000,1000,998,932,499,155,67,40,40,39,39,39,39,0,0,0,1,66,219,297,322,323,324,324,324,324
3,20,1000,1000,997,936,515,156,61,43,42,41,41,41,41,0,0,0,0,67,261,340,351,352,353,353,353,353
3,21,1000,1000,998,928,484,153,59,42,38,38,38,38,38,0,0,0,0,48,236,312,331,331,331,331,331,331
3,22,1000,1000,998,939,501,149,61,42,39,39,39,39,39,0,0,0,0,62,239,315,328,330,331,331,331,331
3,23,1000,1000,995,922,460,171,70,56,53,53,53,53,53,0,0,0,0,78,244,295,310,312,312,312,312,312
