k,trial,B0_1,B0_2,B0_3,B0_4,B0_5,B0_6,B0_7,B0_8,B0_9,B0_10,B0_11,B0_12,B0_13,B1_1,B1_2,B1_3,B1_4,B1_5,B1_6,B1_7,B1_8,B1_9,B1_10,B1_11,B1_12,B1_13
3,0,1000,1000,965,647,270,106,53,45,44,44,44,44,44,0,0,0,40,174,262,296,303,304,304,304,304,304
3,1,1000,1000,964,625,272,107,57,49,48,48,48,48,48,0,0,0,21,153,236,261,270,270,270,270,270,270
3,2,1000,1000,954,580,239,95,47,37,36,34,34,34,34,0,0,1,42,177,250,271,275,275,276,276,276,276
3,3,1000,1000,962,615,276,99,50,40,39,39,39,39,39,0,0,0,31,162,270,305,319,321,321,321,321,321
3,4,1000,1000,953,607,243,113,57,48,45,45,45,45,45,0,0,0,42,163,240,275,280,281,281,281,281,281
3,5,1000,1000,966,638,291,105,54,46,44,44,44,44,44,0,0,0,32,160,245,284,289,289,289,289,289,289
3,6,1000,1000,954,606,226,107,51,41,40,40,40,40,40,0,0,1,45,196,268,297,303,306,306,306,306,306
3,7,1000,1000,973,622,275,107,52,45,45,45,45,45,45,0,0,0,31,159,247,278,284,286,286,286,286,286
3,8,1000,1000,975,612,288,95,61,50,49,49,49,49,49,0,0,0,29,167,270,304,315,315,315,315,315,315
3,9,1000,1000,954,580,240,103,61,48,47,47,47,47,47,0,0,1,49,203,286,312,317,317,318,318,318,318
3,10,1000,1000,961,615,276,122,55,41,38,36,36,36,36,0,0,0,30,172,250,288,297,297,297,298,298,298
3,11,1000,999,965,637,312,120,63,52,51,51,51,51,51,0,0,0,32,162,244,288,297,300,300,300,300,300
3,12,1000,1000,963,619,252,103,52,40,40,40,40,40,40,0,0,0,22,178,260,290,298,299,299,299,299,299
3,13,1000,999,965,613,255,94,47,38,37,37,37,37,37,0,0,0,23,162,248,291,296,298,298,298,298,298
3,14,1000,1000,968,615,278,100,44,34,31,31,31,31,31,0,0,0,33,179,262,311,318,321,321,321,321,321
3,15,1000,1000,959,615,266,106,48,39,39,39,39,39,39,0,0,1,37,167,254,294,300,300,300,300,300,300
3,16,1000,998,962,602,257,99,51,38,34,34,34,34,34,0,0,0,48,191,277,301,308,309,309,309,309,309
3,17,1000,1000,968,626,263,102,36,29,27,27,27,27,27,0,0,0,32,193,274,300,308,310,310,310,310,310
3,18,1000,1000,972,645,251,99,47,43,42,42,42,42,42,0,0,0,21,175,246,290,297,298,298,298,298,298
3,19,1000,1000,963,623,254,103,49,38,36,36,36,36,36,0,0,0,34,200,277,309,316,319,319,319,319,319
3,20,1000,1000,964,627,254,120,69,57,55,54,54,54,54,0,0,0,34,170,250,275,283,287,288,288,288,288
3,21,1000,1000,976,633,265,107,52,42,37,37,37,37,37,0,0,0,24,169,268,306,314,315,315,315,315,315
3,22,1000,1000,968,607,285,100,55,48,46,46,46,46,46,0,0,0,39,173,266,302,309,311,311,311,311,311
3,23,1000,1000,966,610,282,117,57,49,48,48,48,48,48,0,0,0,32,188,258,299,306,306,306,306,306,306
3,24,1000,1000,962,631,266,101,48,42,40,40,40,40,40,0,0,0,33,162,268,306,314,314,314,314,314,314
3,25,1000,1000,955,608,228,86,40,29,29,29,29,29,29,0,0,0,41,175,274,303,311,311,311,311,311,311
3,26,1000,1000,975,632,280,112,60,50,50,50,50,50,50,0,0,0,19,184,266,292,303,303,303,303,303,303
3,27,1000,1000,976,632,269,119,67,48,47,47,47,47,47,0,0,0,26,163,231,257,272,273,273,273,273,273
3,28,1000,999,959,621,261,100,45,37,35,35,35,35,35,0,0,0,40,175,279,311,318,319,319,319,319,319
