k,trial,B0_1,B0_2,B0_3,B0_4,B0_5,B0_6,B0_7,B0_8,B0_9,B0_10,B0_11,B0_12,B0_13,B1_1,B1_2,B1_3,B1_4,B1_5,B1_6,B1_7,B1_8,B1_9,B1_10,B1_11,B1_12,B1_13
3,0,1000,1000,999,977,724,263,86,44,39,36,36,36,36,0,0,0,0,9,167,293,326,330,330,330,330,330
3,1,1000,1000,1000,968,759,298,85,52,47,47,47,47,47,0,0,0,1,10,148,301,338,344,344,344,344,344
3,2,1000,1000,1000,971,762,301,106,51,43,43,43,43,43,0,0,0,1,18,166,302,341,346,346,346,346,346
3,3,1000,1000,1000,979,756,291,92,43,35,35,35,35,35,0,0,0,0,14,168,331,375,385,385,385,385,385
3,4,1000,1000,1000,985,760,265,97,50,44,43,43,43,43,0,0,0,0,9,163,287,326,340,341,341,341,341
3,5,1000,1000,999,978,741,273,99,50,48,48,48,48,48,0,0,0,0,10,152,274,312,316,316,316,316,316
3,6,1000,1000,999,973,730,280,75,40,34,34,34,34,34,0,0,0,0,12,153,274,324,328,329,329,329,329
3,7,1000,1000,1000,973,739,285,101,52,48,48,48,48,48,0,0,0,0,11,162,308,352,357,358,358,358,358
3,8,1000,1000,999,970,707,270,84,45,40,39,39,39,39,0,0,0,0,28,162,288,311,323,324,324,324,324
3,9,1000,1000,1000,968,731,311,100,55,50,50,50,50,50,0,0,0,0,16,159,282,323,326,326,326,326,326
3,10,1000,1000,1000,978,734,276,73,39,34,34,34,34,34,0,0,0,0,19,158,304,343,347,347,347,347,347
3,11,1000,1000,1000,970,710,265,73,44,40,40,40,40,40,0,0,0,0,17,189,291,333,334,335,335,335,335
3,12,1000,1000,1000,964,745,294,99,50,41,41,41,41,41,0,0,0,1,27,172,292,335,341,342,342,342,342
3,13,1000,1000,1000,965,744,274,89,49,44,44,44,44,44,0,0,0,0,12,187,353,386,393,393,393,393,393
3,14,1000,1000,1000,980,721,292,111,48,45,45,45,45,45,0,0,0,0,27,176,300,337,340,340,340,340,340
3,15,1000,1000,1000,956,744,291,110,45,39,39,39,39,39,0,0,0,0,19,149,276,313,324,324,324,324,324
3,16,1000,1000,1000,978,719,285,91,45,40,38,38,38,38,0,0,0,0,14,162,243,282,292,293,293,293,293
3,17,1000,1000,1000,966,739,293,101,68,57,57,57,57,57,0,0,0,0,8,142,278,306,316,316,316,316,316
3,18,1000,1000,1000,963,716,268,92,45,41,41,41,41,41,0,0,0,0,19,161,288,324,333,333,333,333,333
3,19,1000,1000,1000,980,705,287,93,47,38,38,38,38,38,0,0,0,0,15,156,284,324,332,332,332,332,332
3,20,1000,1000,998,970,716,263,97,62,54,54,54,54,54,0,0,0,0,20,195,313,332,336,336,336,336,336
3,21,1000,1000,999,977,771,316,103,56,50,50,50,50,50,0,0,0,0,11,147,271,311,318,318,318,318,318
3,22,1000,1000,1000,973,699,245,86,34,30,30,30,30,30,0,0,0,0,14,162,251,286,295,295,295,295,295
3,23,1000,1000,1000,969,705,287,117,66,59,59,59,59,59,0,0,0,0,22,153,265,304,310,310,310,310,310
3,24,1000,1000,1000,970,707,292,91,47,41,37,37,37,37,0,0,0,0,13,139,263,298,305,305,305,305,305
3,25,1000,1000,1000,979,747,273,96,45,34,33,33,33,33,0,0,0,0,13,143,272,311,316,317,317,317,317
3,26,1000,1000,1000,973,749,264,95,52,45,44,44,44,44,0,0,0,0,9,177,306,344,351,351,351,351,351
3,27,1000,1000,1000,976,736,277,94,48,39,38,38,38,38,0,0,0,0,14,164,307,347,358,359,359,359,359
3,28,1000,1000,1000,972,760,258,79,40,36,36,36,36,36,0,0,0,0,8,175,300,341,348,348,348,348,348
3,29,1000,1000,1000,986,730,249,96,36,32,31,31,31,31,0,0,0,0,16,171,280,323,331,331,331,331,331
4,0,1000,1000,999,977,720,253,74,29,24,22,22,22,22,0,0,0,0,17,301,545,608,616,618,618,618,618
4,1,1000,1000,1000,968,748,278,66,33,26,26,26,26,26,0,0,0,1,21,283,519,584,595,596,596,596,596
4,2,1000,1000,1000,971,755,287,84,30,23,21,21,21,21,0,0,0,1,27,294,536,616,632,632,632,632,632
4,3,1000,1000,1000,979,751,275,75,22,15,15,15,15,15,0,0,0,0,16,256,516,594,611,613,613,613,613
4,4,1000,1000,1000,985,754,244,79,30,23,22,22,22,22,0,0,0,0,16,281,512,575,592,594,594,594,594
4,5,1000,1000,999,978,738,257,78,32,27,27,27,27,27,0,0,0,0,21,278,501,569,580,580,580,580,580
4,6,1000,1000,999,973,722,268,58,23,15,15,15,15,15,0,0,0,0,24,263,473,553,562,564,564,564,564
4,7,1000,1000,1000,973,736,271,81,31,27,27,27,27,27,0,0,0,0,17,265,511,591,602,603,603,603,603
4,8,1000,1000,999,970,692,244,61,22,16,15,15,15,15,0,0,0,0,35,286,513,570,590,593,593,593,593
4,9,1000,1000,1000,968,727,292,69,23,20,20,20,20,20,0,0,0,0,28,267,482,554,566,566,566,566,566
4,10,1000,1000,1000,978,728,261,57,25,17,17,17,17,17,0,0,0,0,26,265,512,593,601,601,601,601,601
4,11,1000,1000,1000,969,700,243,54,27,20,20,20,20,20,0,0,0,0,32,309,505,580,584,586,586,586,586
4,12,1000,1000,1000,963,739,272,76,29,19,19,19,19,19,0,0,0,1,45,280,513,594,604,605,605,605,605
4,13,1000,1000,1000,965,739,256,71,27,23,22,22,22,22,0,0,0,0,17,283,570,631,644,644,644,644,644
4,14,1000,1000,1000,980,712,270,85,23,20,20,20,20,20,0,0,0,0,45,293,516,587,594,594,594,594,594
4,15,1000,1000,1000,956,734,271,85,22,17,17,17,17,17,0,0,0,0,27,256,479,552,574,574,574,574,574
