k,trial,B0_1,B0_2,B0_3,B0_4,B0_5,B0_6,B0_7,B0_8,B0_9,B0_10,B0_11,B0_12,B0_13,B1_1,B1_2,B1_3,B1_4,B1_5,B1_6,B1_7,B1_8,B1_9,B1_10,B1_11,B1_12,B1_13
3,0,1000,1000,1000,989,890,486,122,46,37,37,37,37,37,0,0,0,0,1,46,231,294,304,304,304,304,304
3,1,1000,1000,999,997,896,471,114,38,32,32,32,32,32,0,0,0,0,0,56,266,335,340,342,342,342,342
3,2,1000,1000,999,991,886,475,128,46,35,34,34,34,34,0,0,0,0,0,46,228,307,319,320,320,320,320
3,3,1000,1000,1000,996,906,489,101,40,35,35,35,35,35,0,0,0,0,0,51,258,326,333,333,333,333,333
3,4,1000,1000,1000,997,906,447,106,48,37,36,36,36,36,0,0,0,0,0,52,279,349,361,362,362,362,362
3,5,1000,1000,1000,998,890,471,110,43,37,37,37,37,37,0,0,0,0,0,50,269,334,345,345,345,345,345
3,6,1000,1000,1000,995,901,462,98,49,41,40,40,40,40,0,0,0,0,1,51,282,337,343,345,345,345,345
3,7,1000,1000,1000,994,889,483,121,52,40,40,40,40,40,0,0,0,0,2,31,247,326,338,338,338,338,338
3,8,1000,1000,1000,995,904,465,117,51,38,38,38,38,38,0,0,0,0,0,43,258,318,330,331,331,331,331
3,9,1000,1000,999,992,906,470,113,48,41,41,41,41,41,0,0,0,0,0,49,264,348,354,354,354,354,354
3,10,1000,1000,999,997,893,473,117,47,40,40,40,40,40,0,0,0,0,1,39,269,336,344,344,344,344,344
3,11,1000,1000,1000,998,911,468,131,49,41,41,41,41,41,0,0,0,0,0,37,247,307,313,313,313,313,313
3,12,1000,1000,1000,992,898,476,131,46,38,38,38,38,38,0,0,0,0,0,42,237,311,318,319,319,319,319
3,13,1000,1000,1000,990,877,468,118,46,37,37,37,37,37,0,0,0,0,3,65,242,305,316,316,316,316,316
3,14,1000,1000,1000,991,892,457,109,33,26,26,26,26,26,0,0,0,0,1,53,285,363,370,370,370,370,370
3,15,1000,1000,1000,994,926,475,125,41,32,30,30,30,30,0,0,0,0,0,42,237,330,342,346,346,346,346
3,16,1000,1000,1000,994,900,478,119,44,36,34,34,34,34,0,0,0,0,0,53,256,319,335,335,335,335,335
3,17,1000,1000,1000,995,906,447,114,48,43,42,42,42,42,0,0,0,0,0,59,260,331,337,338,338,338,338
3,18,1000,1000,1000,997,894,446,119,43,37,37,37,37,37,0,0,0,0,1,47,268,339,348,348,348,348,348
3,19,1000,1000,1000,997,911,484,134,51,40,40,40,40,40,0,0,0,0,1,35,225,318,324,326,326,326,326
3,20,1000,1000,999,996,892,456,123,54,48,46,46,46,46,0,0,0,0,0,47,249,325,333,333,333,333,333
3,21,1000,1000,1000,994,897,457,111,43,35,34,34,34,34,0,0,0,0,1,51,262,358,365,368,368,368,368
3,22,1000,1000,1000,995,903,463,112,45,42,42,42,42,42,0,0,0,0,2,61,291,373,382,382,382,382,382
3,23,1000,1000,1000,997,902,474,112,44,42,41,41,41,41,0,0,0,0,1,36,266,344,349,349,349,349,349
3,24,1000,1000,999,994,908,458,108,42,35,35,35,35,35,0,0,0,0,3,48,265,334,343,343,343,343,343
3,25,1000,1000,1000,990,877,439,119,48,44,43,41,41,41,0,0,0,0,2,60,261,334,338,338,338,338,338
3,26,1000,1000,1000,995,913,467,116,39,28,28,28,28,28,0,0,0,0,0,42,245,315,322,323,323,323,323
3,27,1000,1000,1000,991,903,453,138,52,47,46,46,46,46,0,0,0,0,2,53,231,306,310,310,310,310,310
3,28,1000,1000,1000,991,892,452,111,41,36,35,35,35,35,0,0,0,0,0,56,248,308,319,319,319,319,319
